Start Eff Date,End Eff Date,Cost,Cnty,State,City,Zip,Svc,Mat,SCode,Mkt,Qty,Cnt per wk,Equip,Size Code,Yd Size,Covid
10/9/2020,9/30/2021,175,Hartford,CT,ROCKY HILL,6067,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
11/1/2020,11/30/2021,82.39,Alachua,FL,GAINESVILLE,32641,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/1/2021,5/12/2021,66.25,Randall,TX,CANYON,79015,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
11/11/2020,7/31/2021,88.75,Muscogee,GA,COLUMBUS,31999,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
11/19/2020,1/13/2021,75,Saint Johns,FL,ST AUGUSTINE,32086,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/29/2021,9/30/2021,175,New Haven,CT,BRANFORD,6405,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
12/30/2020,9/30/2021,95,Craven,NC,VANCEBORO,28586,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/26/2021,4/30/2021,111.72,Collin,TX,WYLIE,75098,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
2/1/2021,2/18/2021,80,Madison,IL,ALTON,62002,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
2/1/2021,2/21/2021,82,Madison,IL,WOOD RIVER,62095,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
2/1/2021,8/3/2021,80,Comal,TX,NEW BRAUNFELS,78130,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
11/2/2020,10/31/2021,80,Chautauqua,NY,DUNKIRK,14048,PCK,SSR,NULL,Open,1,1,DMP,YRDS-8,8,Post
8/1/2019,5/31/2021,116.38,Milwaukee,WI,GREENFIELD,53219,PCK,C,NULL,Open,1,3,DMP,YRDS-6,6,Pre
7/1/2021,7/7/2021,187.72,Fayette,GA,FAYETTEVILLE,30215,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
9/1/2020,6/30/2021,197.38,Fayette,GA,FAYETTEVILLE,30215,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
1/11/2021,9/30/2021,218.42,Hamilton,IN,NOBLESVILLE,46060,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
9/1/2020,9/30/2021,300,Suffolk,NY,RIVERHEAD,11901,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
1/11/2021,8/31/2021,300,Gaston,NC,GASTONIA,28052,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
8/1/2019,3/31/2021,255,Nassau,FL,YULEE,32097,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Pre
4/26/2019,9/30/2021,206.25,Nassau,NY,HICKSVILLE,11801,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Pre
8/1/2019,5/31/2021,151.98,Milwaukee,WI,MILWAUKEE,53219,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Pre
8/1/2019,5/31/2021,216.52,Fond du Lac,WI,FOND DU LAC,54935,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Pre
1/11/2021,3/31/2021,65.67,Eau Claire,WI,EAU CLAIRE,54701,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
11/1/2020,11/30/2021,186.49,Jasper,SC,HARDEEVILLE,29927,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
12/11/2020,11/30/2021,375.35,Buncombe,NC,ASHEVILLE,28806,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
12/16/2019,3/31/2021,400,Fairfield,CT,NORWALK,6851,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Pre
6/17/2020,8/31/2021,520,Litchfield,CT,NEW MILFORD,6776,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Pre
6/17/2020,8/31/2021,525,New Haven,CT,MILFORD,6460,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Pre
1/1/2021,3/22/2021,354.02,Orange,FL,ORLANDO,32819,PCK,C,NULL,Open,1,3,DMP,YRDS-4,4,Post
10/17/2021,1/9/2022,253.77,Mecklenburg,NC,CHARLOTTE,28277,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
11/13/2020,9/30/2021,253.65,Carroll,GA,VILLA RICA,30180,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
4/1/2021,7/31/2021,65.67,Eau Claire,WI,EAU CLAIRE,54701,PCK,C,NULL,Open,1,3,DMP,YRDS-8,8,Post
10/17/2021,1/9/2022,233,Cook,IL,TINLEY PARK,60477,PCK,SSR,NULL,Open,1,3,DMP,YRDS-6,6,Post
10/17/2021,1/9/2022,230,Cook,IL,ORLAND PARK,60462,PCK,SSR,NULL,Open,1,3,DMP,YRDS-8,8,Post
10/17/2021,1/9/2022,198,Lake,IN,HIGHLAND,46322,PCK,SSR,NULL,Open,1,3,DMP,YRDS-6,6,Post
11/15/2020,1/14/2021,346.5,Lake,IN,HIGHLAND,46322,PCK,SSR,NULL,Open,1,3,DMP,YRDS-6,6,Post
4/1/2021,8/31/2021,129.99,Nassau,NY,LYNBROOK,11563,PCK,SSR,NULL,Open,1,3,DMP,YRDS-2,2,Post
11/15/2020,1/14/2021,379.27,Cook,IL,TINLEY PARK,60477,PCK,SSR,NULL,Open,1,3,DMP,YRDS-6,6,Post
11/15/2020,1/14/2021,225.22,Cook,IL,ORLAND PARK,60462,PCK,SSR,NULL,Open,1,3,DMP,YRDS-8,8,Post
6/5/2020,5/31/2021,130.56,Rock,WI,JANESVILLE,53545,PCK,SSR,NULL,Open,1,3,DMP,YRDS-6,6,Pre
1/14/2019,8/31/2021,481,Hartford,CT,ENFIELD,6082,PCK,SSR,NULL,Open,1,3,DMP,YRDS-6,6,Pre
7/9/2020,7/31/2021,248.32,Kane,IL,GENEVA,60134,PCK,SSR,NULL,Open,1,3,DMP,YRDS-2,2,Post
11/1/2020,11/30/2021,476.31,Fulton,GA,ATLANTA,30318,PCK,SSR,NULL,Open,1,3,DMP,YRDS-8,8,Post
5/1/2021,8/31/2021,454.45,Travis,TX,AUSTIN,78758,PCK,SSR,NULL,Open,1,3,DMP,YRDS-8,8,Post
